,날짜,리뷰,평점
198,2020.05.17 15:42,심장쫄깃쫄깃합니다.쇼생크탈출을 생각나게 하네요,9
199,2020.05.16 23:59,정말 재밌어요초등학생 아이들과 봤습니다.아이들도 재밌다고또 보러가자고하네요,10
200,2020.05.16 23:18,,10
201,2020.05.16 22:15,"긴장감 있고 연기력도 좋았지만, 긴장감있는 연출을 만드려고 런닝타임이 내용에 비해 길단 느낌이 들었어요",7
202,2020.05.16 20:12,감옥 관연 탈출할 수 있을까 긴장 연기 잼,7
203,2020.05.15 23:42,간수들에게 들킬까 말까하는 쪼임이 압권,7
204,2020.05.15 22:47,긴장감 높고 재밌었어요!,9
205,2020.05.15 22:42,"긴장감, 몰입도 대박... 시간가는줄 모르고 봤네요..",9
206,2020.05.15 13:45,"영화를 보는 내내 몰입감, 긴장감의 끈을 놓을 수가 없었다.하지만 결말에서 아쉬움이 많이 남았던 영화. 이외에 배우들의 엄청난 몰입, 연기를 예찬합니다.",9
207,2020.05.15 12:16,진짜 완전 재미!! 연기도 미쳤고 완전꿀잼!! 시간이 후딱지나감!! 드라이버로 모든 곳에는 소리 울릴땐 진짜 내가 주인공 같더라,10
208,2020.05.15 11:00,긴장감을 놓칠 수 없다.,10
209,2020.05.15 02:18,끝까지 긴장의 끈을 놓을수 없었다,10
210,2020.05.15 02:11,긴장감고조시키는 장면많아서시간가는줄모르고 봤음,10
211,2020.05.15 01:22,"진짜 쫄려서 죽을뻔,,,",10
212,2020.05.15 01:12,개재밌음. 실화여서 더 감동적임.,8
213,2020.05.15 00:35,할리우드식 총기 난사하며 폭탄이 펑펑 터지는 그런 탈출영화가 아닌 배우들의 연기력과 감독의 표현력을 즐길수 있는 영화였다.실화라는 점에서 묘하게 빠져드는 점도 있었고 아프리카가 배경이라그런지 영어 발음들이 어설픈 디테일도 마음에 들었다.하지만 조금 아쉬운 점이 있다면 다니엘 래드클리프(팀제킨)쪽에 스토리가 너무 쏠려 있는 느낌이 들었다. 같이 탈출하는 다니엘 웨버는 거의 존재감 없는 도구 수준이고 나단 페이지는 왜 수감되었는지는 모르지만 아들바보 아빠마지막 그 후 근황(?)설명에도 두명의 이야기도 빠져 있으니 사실상 다니엘 래드클리프(팀제킨)형님께서 연기력으로 원맨쇼 한 기분이 들었다. ,9
214,2020.05.14 23:03,긴장감 심장 쫄깃쫄깃해요,10
215,2020.05.14 22:41,탈출극이니 어느 영화에서나 예상되는 내용이지만 연출력과 긴박감이 아주 좋았다 해리포터 연기 굿,9
216,2020.05.13 21:55,,10
217,2020.05.13 19:18,이야 이게 영화로 나오길 기다렸다. 정말 ㅋㅋㅋ대박이여 이겅ㅋㅋ연기도 잘하고 긴장감 개쩔었다 내가 다한증 걸린줄 알았다. 인공지능이 정답을 찾기 위해 항상 정답을 향해서 결국 답을 찾아내는 모습이랄까? 삶 자체가 알고리즘의 연속임을 ,10
218,2020.05.13 18:42,극이 거의 깜빵내에서 문따는 장면들로 진행되는데 쫄리게 만듦,9
219,2020.05.13 15:30,다니엘 레드클리프는 해리포터 이후에 여러 모습 많이 보여줬어.니들이 그 이미지에 갇혀 있었던거고 작품을 안 본거겠지.드디어 제대로 된 모습 보여준다고 하는 이야기 좀 역겨움,10
220,2020.05.13 13:31,심장 쫄깃하게 재밌게 잘 봤네요.,10
221,2020.05.13 07:18,영화가 쫄깃쫄깃하니 재밌네. 지루할줄 알았는데 지루한 부분은 크게 없었다.,10
222,2020.05.12 19:34,"실화를 바탕으로 한 탈옥 영화. 기상천외한 아이디어나 가슴을 울리는 극적인 드라마는 없지만, 담담하고 설득력 있는 연기와 연출이 선사하는 사실적 몰입감이 즐거운 작품이다. 각본 잘 보는 좋은 배우로서 자신의 자리를 찾은듯한 해리 포터의 모습도 반갑다. ",7
223,2020.05.12 16:07,"나가야 할 문은 15개, 살인을 마다하지 않는 감시저격병,그 모든 것을 뚫고 야밤도주가 아니라, 대낮에교도관들의 퇴근시간에 탈출을 시도하는 놀라운 이야기정말 100여분 심장이 쫄깃해지는 경험을 하게 된 놀라운 영화인...",10
224,2020.05.12 04:17,마지막장면연기가 실감나네요,9
225,2020.05.12 02:09,긴장감잇는 전개가 좋앗어요,8
226,2020.05.11 23:30,ㄹ,2
227,2020.05.11 23:19,"스토리는 예상 가능 하나, 그래도 심장이 쫄깃합니다!",8
228,2020.05.11 21:10,보는내내 스릴감도 있고 잘봤다. 근데 해리포터는 정말 연기변신하기 힘들듯..수염기른것도 해리포터가 수염길렀네? 라고 보이니..,8
229,2020.05.11 20:31,"기대 안하고 봤는데 생각보다 너무 재밌었어요!시간가는줄 모르게 긴장감 넘치고, 몰랐던 실화를 알아가서 좋네요~",10
230,2020.05.11 19:57,스토리는 단순한데 완전 심장 쫄립니다... 그리고 해리포터 연기잘함,8
231,2020.05.11 17:43,자유와 평등을 위해 싸운 이들이 있어 이 세상이 있는 것이다.,9
232,2020.05.11 12:40,프리즌브레이크 같은 탈출 영화 실화기반이라 더 흥미진진하다,8
233,2020.05.11 11:54,"개인적으로는 굉장히 스릴 있게 본 영화이지만실화를 바탕으로 제작된 스토리임을 몰랐다면나도 단순히 진부한 탈출 영화로 봤을거다.실화 기반 스토리임을 알고 봐서 그런지나도 친구도 영화를 보는 내내 등장인물에게 몰입되어조마조마 긴장감을 늦추지 못했으며,2시간이라는 짧지 않은 러닝타임에도굉장히 시간이 빨리 지나간 것처럼 느꼈다.설정과 배경이 한정적인 점이나후반부로 갈 수 록 이렇게 허무해도 되나 싶을 정도로스토리가 다소 빠르게 진행되는 느낌을 받아아쉬운 마음이 남았으나개인적으로 굉장히 재밌게 봤다 ",7
234,2020.05.11 09:19,공포형화가 아닌데도 반드시 심약자 관람주의,9
235,2020.05.10 22:49,처음엔 재미없어서 살짝 졸았는데 졸음을 참다보니 심장이 쫄깃해지네요ㅎ 블록버스터는 아니지만 손에 땀을 쥐며 봤습니다. 재밌어요!,8
236,2020.05.10 21:38,다니엘 목아지 땀 연기가 참으로 적절하다..,6
237,2020.05.10 17:31,cctv가 있는 요즘에는 말도안되는 클래식 탈옥이지만..영화 내내 심장이 쫄깃해서 숨이 멎는줄 알았다.,8
238,2020.05.10 15:40,점점 같이 쫄리면서 봄..ㅠㅠ 가미는 된 거겠지만 실화라는 게 놀라움.. 내용이 군더더기가 없음. 딱 보여줄 것만 보여주고 끝남. 그래서 조금 당황함^^; 연출 덕에 더 몰입감이 높았고 소재는 무겁지만 탈출 자체에 초점이 가 있어서 부담 없이 볼 수 있는 영화였다. ,10
239,2020.05.10 14:27,긴장감 짱 ㅜ 3차까지 찍을거에요,10
240,2020.05.10 13:02,"와우,잘 만든 감옥 영화실화라서 더욱 놀랍다 !",10
241,2020.05.10 11:11,큰 기대안했는데 정말 재밌게 봤습니다. 몰입도가 최고에요. 배우들이 연기를 정말 잘하는것 같아요.,10
242,2020.05.10 10:16,그냥 또 하나의 명작영화가 탄생함감옥탈출 이라는 주제로 cg같은것도 별로 없고 이 정도의 몰입감과 현실감 배우들의 연기 실제실화이지만 더 실화같은 연기성 존나 잘만듬 스토리는 애초에 주제가 깜빵탈출이라 별거 없긴한데 감옥의 배경이 너무쩔음 ,10
243,2020.05.10 00:12,재미있습니다. 슬릴있고 긴장감도 있네요.,9
244,2020.05.09 22:33,완전 재미있어요 연기도 너무 잘하셔서 몰입도 완전 쩔고 보는 내내 짜릿했어요 정말정말 매우 추천합니다!!,10
245,2020.05.09 12:59,"실화라 더 재밌게 본 것 같네요! 실제 스토리가 놀랍습니다 ^^ 긴장감 놓지 않고 볼 수 있는 영화라 완전 몰입했습니다. 전 후 스토리는 아주 짧게만 안내되어 궁금하긴 했지만, 감옥에서 탈출하는 과정에만 포커스가 맞추어져있어서 볼 땐 더 많이 집중했던 것 같네요. 암튼 날 더울 때 더 추천하고싶은 영화네요! ",10
246,2020.05.09 11:16,지루하지 않고 재밌게 봤어요~,10
247,2020.05.08 22:53,,10
248,2020.05.08 20:51,"실화라서 그런지 소소하게 위기가 있는데, 그 부분이 은근 긴장감 있습니다. 껌으로 열쇠 다시 건져올릴 때 괜히 제 일도 아닌데 스트레스 받아요ㅋㅋㅋ",8
249,2020.05.08 19:54,감옥이 너무 허술한듯합니다,7
250,2020.05.08 13:03,"영화의 절반정도의 장면은 그가 열쇠를 실험하는 장면입니다. 똑같은 영상과 똑같은 문은 아니지만 비슷하게 연출되는 이 장면에도 관객은 매우 긴장하게 됩니다. 이 영화가 실화이기에, 그 셋이 탈출할 것이라는 것을 알고 ...",9
251,2020.05.07 20:24,해리포터의 아즈카반 감옥 탈출 감동 실화~!!아킴보도 그렇고 다니엘이 연기 스펙트럼을 넓혀가고 있어서 흐뭇하네요. 실화 기반이라 더 재밌게 봤습니다. 우리가 누리는 자유는 잃기 쉬운 만큼 누군가의 희생에 의해 쟁취된것이겠지요 ,9
252,2020.05.07 18:19,긴장감 장난아님 ㅎㅎㅎ 연기도 좋고 재밋어요,10
253,2020.05.07 17:06,몰입감도 좋고 내용도 좋음,10
254,2020.05.07 16:29,손에 땀을 쥐게 할만큼 긴장함서 봤네요. 너무 재밌었어요. 탈옥 못할까봐 내가 다 조마조마.,10
255,2020.05.07 11:17,실화기반이라 더욱 재미있을것 같아요 기대되요~~~,10
256,2020.05.06 22:13,와~~~ 다보고 소름돋은게 한참을 가네요.정말 꼭 한번 봐보시길 강추합니다.,10
257,2020.05.06 17:34,마지막 30분부터 숨을 죽이고 미간을 찌푸리며 보고 있는 나를 보았다.,9
258,2020.05.06 16:39,감옥탈출 꿀잼각!! 현 시국에 딱 맞는 영화 ㅋㅋ,10
259,2020.06.05 00:13,실화라는게 정말 놀라워요. 보는 내내 쫄리더라구요~~,8
260,2020.05.31 20:14,군대에서 야간 근무 서면서 라면먹다 대대장님 순찰 마주쳤을때보다 더 긴장되는 영화...,10
261,2020.05.29 19:10,존잼 간만에 영화집중해서봤어요 ~~ 보는내내 심장이쫄깃쫄깃 꼭보세요들 지림,10
262,2020.05.29 00:03,심장이 쫄깃쫄깃 엄청 긴장하면서 봄,10
263,2020.05.28 23:54,마스크끼고 숨참으면서 봤다 긴장감 대복,10
264,2020.05.28 23:16,제목 그대로 감옥 탈출입니다. 극적인 연출은 없지만 단순한 스토리로 한 시간 넘게 끌고 가는데 지루하지 않은 틈이 없다는 건...엄청난 거 아닌가요? 추천 박습니다^_^)/,10
265,2020.05.28 17:21,역대급 최고임,10
266,2020.05.27 16:57,해리포터가 진짜 좋은 배우가 됬다는걸 보여주는 영화!,10
267,2020.05.25 17:49,정말 너무 쫄려서 힘들었음..생각보다 평점이 낮아서 놀람.,10
268,2020.05.24 10:09,스포 절대당하지말고 가세요 ㅋㅋ 진짜 몰입감 대박이고 재밌습니다~~,8
269,2020.05.24 03:31,"어우.. 제가본 탑10위에 들어갈정도로 꿀잼이네.. 긴장감이 끝까지 , 몰입도 최고입니다.   꼭보세요 강추!!",10
270,2020.05.24 01:00,처음엔 뭔가 하고 봤다가 점점 심장 쫄깃쫄깃 ㅋㅋ 재밌게 잘 봤어요 ㅎㅎ,10
271,2020.05.24 00:38,입 닥쳐 말포이,10
272,2020.05.23 19:04,심장쫄깃쫄깃쫄깃쫄깃,10
273,2020.05.22 21:11,심장쫄깃쫄깃 재밌음.,9
274,2020.05.22 17:47,재밌더라구요 실화라는 게 놀랍고눈 가리며 봤습니다 하하,10
275,2020.05.22 10:14,공포 영화 보는듯한 느낌... 심장 쫄려 ㅠㅠ,10
276,2020.05.17 03:46,"긴장감이 있는 장면을 계속 만들어내긴 하는데, 그게 조마조마하고 다음이 기대되기 본다는 러닝타임 한참 남았는데 계속해서 긴장감을 반복하기만 하니까 짜증만 났다.",5
277,2020.05.16 18:31,실화지만 막장스토리가 판치는 요즘에 이야기가 좀 심심하다. 그래서 연기로 승부보려는 느낌이었음..긴장감 높이기 위해서 숨소리 과다하게 넣고 행동을 과장하고. 처음에는 거슬렸는데 계속 보면 쫄린 맛은 준다 .그래도 이야기가 뭔가 펑! 터져야 하는데 없어서 조금 허무함 ,6
278,2020.05.15 21:37,넘 단순하고 갈등이나 긴장이 약하다..영화 the cell과 넘 비교됨..실화라지만..,6
279,2020.05.11 02:16,ㄹㅇ 속시원한 전개에 심장 쫄깃하게 만듬 ㄹㅇ 개꿀잼,9
280,2020.05.11 01:46,예상 가능한 스토리 전개. 그냥 그랬어요.,5
281,2020.05.11 00:25,어휴 이게 뭐라고 심장 떨려 죽는줄알았네,10
282,2020.05.10 03:46,음.. 이게 재밌다고? 너무 지루한데..,6
283,2020.05.10 02:20,기승전결중 앞뒤빼고 중간 부분만 부각되서 진행되다보니 순간적인 스릴은 있으나 전체적으로 긴장감을 이어가면서 진한 감동을 이끌어 내진 못하는 느낌이다.  킬링 타임용으로는 OK,6
284,2020.05.08 14:53,섬세하게 긴장감을 고조 시키네요. 아이디어도 기발하지만 나무로 열쇠를 제작했다는 것 자체도 대단하고 성공한 것도 깊고 진한 감격을 선사하는 엔딩이더군요.,9
285,2020.05.07 23:14,보는 내내 손에 땀을 쥐게하는 긴장감에 시간 가는 줄 몰랐다. 그리고 이것이 실화라는 것에 한번 더 놀란다.,9
286,2020.05.07 16:12,마지막 순간에 저도 감격스러워서 울었네요 1917에 비교하긴 그렇지만 저에게는 진짜 감동적인 영화였어요 영상미랑 음악이랑 연기력이 와..꼭 보시는걸 추천드립니다,10
287,2020.05.07 01:19,열쇠 만드는 시행착오와 탈출할때 긴장되고 숨박히는 기분ㅋㅋㅋ 대박,10
288,2020.05.06 23:25,전만족하며봤어요 탈출특유의 긴장감도 너무좋았고 내용도 좋았어요 ㅎ,9
289,2020.05.06 22:22,실화에충격..쇼생크탈출의 업그레이드버젼,9
290,2020.05.06 22:20,익스펙토 페트로눔..,10
291,2020.05.06 21:59,심장 쫄리면서 봤네요 추천,9
292,2020.05.28 22:55,혼자봤는데 너무 무섭지도 않았고 적당한 긴장감과 함께 재밌게봤어요!,9
293,2020.05.23 16:17,"원래는 7~8점 짜릴지 모르나 내 감동은 코로나 때문에 10점...ㅜㅜ간만에 영화다운 영화 봤네 ㅜㅜ 아직도 다래가 해리포터로 보인다면 당신은 진짜 영화 반성하고 더 배워라 영국놈들 중에 진짜 인정하는 배우 ㅜㅜ 연기에 매 작품마다 혼을 담다 못해 인생을 다 건다... 정글이랑 우먼인블랙 보면 다래가 진짜 얼마나 명배우인지 알 수 있음 그리고 영화 얘기하는데, 각본따위 잣까고 감독의 연출력으로 조져도 이 정도란 건 이런 걸 말함... 혹시 영화 제작 꿈 꾸는 사람들 귀담아 들어라 연출은 &#39;BGM이랑 OST&#39;부터 시작한다. 괜히  &#39;뮤직&#39;헐 이란 말이 나온게 아냐 별거 아닌 것도 관객을 그 시츄에이션 속에 넣어 같이 달려가게 만드는 관객 감동 요소 중 제일 만만한게 OST다. 여튼 간만에 영화다운 영화봐서 울컥 합니다 ㅜㅜ 결말까지 완벽(새드 엔딩인가 해피 엔딩인가? 쉿!) ",10
294,2020.05.11 14:45,화려하진 않지만 진짜 간만에 재밌는 탈출영화 본거같다 ㅎㅎ쫄깃쫄깃하네~,10
295,2020.05.10 21:05,긴장감 미띰 :; 와 아주 ^^ㅏ발적임 너무 재밌음 꼭 보셈 와..,10
296,2020.05.23 18:11,내 인생 최고의 영화 꼭 보세요. 10점!! 불면증에 큰 도움이 됩니다.,10
297,2020.05.20 21:30,푹 자고 싶다면 예매하세요,1
298,2020.05.14 23:00,"저 알바 아닙니다. 이 영화는 부디 우리나라에서 흥행했으면 합니다. 내 인생 가치관을 바꿔놓은 영화. 해리포터가 주인공이길래 그냥 믿고 봤고, 맨 처음 시작 할 땐 솔직히 그냥 평범한 그리 재미없는 감옥탈출 영화인 줄 알았는데, 매우 재밌다. 배우들이 연기가 아니라 진짜 갇힌 사람들 같거나 그 이상이다. 실화이고, 장면 하나하나에서 관객에게 의미를 전달하려는 의도를 느낄 수 있었다.같이있던 관객이 10명도 채 되지 않았었는데... 끝나고 나선 내 인생영화 중 원톱에 들었다.영화 끝나고 하루종일 얘기할 수 있을만큼 보는 내내 느끼는 바가 많았음.일단 배우들 연기가 정말 대단하다. 주인공인 두 친구 정말 감정이입 되고 몰입되게 연기한다. 이 영화 때문에 레드...팬됐다.(해리포터 배우 이름 잘 모름)배우들이 감옥살이나 군생활 실제로 안해봤을텐데 정말 감옥에 갇힌 죄수 연기 잘한다.내가 갇힌 것 같은 기분이 든다. 마지막 장면에 나도 같이 눈물흘리며 웃었다.내가 영화감상평 안쓰는사람인데. 이 영화보고 쓴다. 꼭 감상평 써야겠다는 결심하고 이렇게 쓰고있다.표값이랑 팝콘값 하나도 안아깝고 돈내고 볼 가치가 대단한 영화.프리즌 이스케이프와 1917을 나는 인생영화로 올해에 뽑았다. 군생활 해보신 분들은 다 아시겠지만 우리가 누리는 이 자유는 좋은 것입니다. 군생활 중이신 분들은 탈영하지 마시고 1년 몇개월은 아무것도 아니니까 열심히 참아봅시다. 저 진짜 알바 아닙니다. 이 영화는 꼭 부디 흥행했으면 하고 간절히 바랍니다. ",10
299,2020.05.14 17:26,"코스 요리를 시켰는데, 정작 메인디쉬는 안 나옴.",7
300,2020.05.06 15:11,극장에서 내내 쫄아있었음!! 긴장감 최고!,10
301,2020.05.11 22:13,"쇼생크탈출이 선녀라면, 이 영화는 하녀다.긴장은 있으나 감동이 없고목적은 있으나 꿈이 없고사실은 있으나 사연이 없다.",6
302,2020.06.11 14:40,긴장감 하나는 최고인듯 똥줄탄다는게 이런느낌~ 몰입도 하나는 최고! 이거 실화다!,8
303,2020.06.11 10:38,이게 실화라는게 놀랍네요 재밌어요!,10
304,2020.06.11 03:39,지렸어요 책임지세요...꿀잼..크..,10
305,2020.06.10 13:26,뻔한 스토리지만 배우들의 연기가 좋았음,8
306,2020.06.10 07:18,단순한 스토리에 엄청난 몰입감 스릴 최고였습니다 코로나로 집에서 초등 아이랑 봤는데 어린 아이들이랑 보기에 좋네요,10
307,2020.06.10 02:36,스릴있게 봤어요! 좀 더 박진감넘치는 음악이 들어갔음좋겠,8
308,2020.06.09 23:43,연출과 배우들의 연기력이 좋았음,9
309,2020.06.09 22:57,이렇게 스릴있게 본영화 오랜만 단지 자꾸 드는 생각은 세월이 야속해~,8
310,2020.06.09 21:58,땀나게 하는 연출력에 박수보내요,9
311,2020.06.09 21:08,다 좋은데... 엔딩이 좀 별로다... 너무 허무해...,9
312,2020.06.09 16:38,기냥 한편의 게임같았슴.긴장감 들만하면 어찌 그렇게들 아무일없이넘어가게 되던지..,6
313,2020.06.09 12:50,1917이랑 이게 올 해 본거 중에 제일 재밌었음,10
314,2020.06.09 11:23,"제목만 보고 다니엘의 차분함 캐릭터 출연을 보고 또 재미없는 영화 하나 나왔네 하고 지나치다 볼게 없어서 그래도 이전에 해리포턴데 배팅을 걸고 봤습니다 초반에 역사얘기로 이어지나 했더니.. 정말 재밌게봤네요 후반으로 갈수록 재밌고 긴장도 같이 하면서 똥줄타는 기분이에요 실화라고 하니 엔딩때 실화구나 ,,싶고 이전의 해리포터가 연기해서 그런지 연기 존나 잘하는게 매 초마다 느껴져요 다니엘 짱 / 그리고 프레즌브레이크나 이런 복잡한구조 탈출하는 영화에 흥미를 가진 분들이라면 또는 다니엘 좋아하는 분들이라면 재밌다로 끝날 영화고 아 난 감옥이고 머고 탈출이 먼지도 모르겠다 그냥 감옥에서 살쥐 하는 분들은 재미 못느끼실거에요 ",10
315,2020.06.09 09:19,사운드로 좀 더 긴박한 상황을 연출했다면 더 좋았을 영화였지만 시간 가는줄 모르고 봤습니다,10
316,2020.06.09 09:12,"탈출내용이다보니 보는내내 긴장감 있고, 누구 말마따나 인종차별에 대항해 투옥된 주인공들의 주제의식이 부족했음.",8
317,2020.06.09 08:26,다니엘(해리포터) 오랜만이였어요,8
318,2020.06.09 07:04,ㅇㅇ,8
319,2020.06.09 04:42,다니엘 래드클리프 연기 미쳤음..,10
320,2020.06.09 03:24,영화가 탈출과정에만 초점이 맞춰져 있어서 그런가 한편으론 스토리의 깊이에 대한 아쉬움이 남는 영화였어요. 킬링타임용 영화로 적당한거 같아요,6
321,2020.06.09 00:26,뭐가재밌다는건지..그냥그래요,6
322,2020.06.08 23:47,무언가를 집중력있게 담는것이 생각보다 쉬운일이 아니다. 다른건 다 겉어내고 탈옥이라는 것에 집중력있게 그렸다. 군더더기 없이 화면에 집중하게 만든다.,10
323,2020.06.08 23:05,,10
324,2020.06.08 22:59,"영화적 완성도와 재미를 떠나, 욕심부리지 않고 '무엇을', '어떻게'에 집중하다 보니 '왜'가 더욱 빛나게 된 경우.",6
325,2020.06.08 22:13,순수한 탈옥에 집중한 아날로그 영화! 정말 재미져요~~!! ^^,9
326,2020.06.08 21:58,실화를 다룬 영환데 그 당시의 긴박함이 영화로는 많이 부족했다. bgm으로 그 긴박함을 더 생생히 느꼈으면 좋았을 거 같다.기대에 미치진 못했지만 그냥 볼만한? 영화였다.,7
327,2020.06.08 21:57,실화라는부분이 믿기지않네요,7
328,2020.06.08 18:40,심장쫄깃 평점내용보고보면 재미떨어지니 저처럼 그냥보세요 ㅎㅎ 시간가는줄 모르고 봤네요,10
329,2020.06.08 16:52,"평점 및 리뷰보고 기대를 많이 해서 그런지 생각보다 긴장감있지는 않았고, 적은 돈으로 본다면 킬링타임용으로는 볼만한거 같음",5
330,2020.06.08 15:49,뭔가감동...후!!! 재밌어요 진짜!!0,10
331,2020.06.08 15:33,기대없이 봤는데 스릴있게 잘 봤어요,8
332,2020.06.08 14:28,결론 모르고 봤더니 다니엘이랑 같이 심장 쫄려 죽을뻔했어요,10
333,2020.06.08 10:58,초반 설정이랑 과정은 재미있는데탈출과정이 너무 많이 생략되었음..그냥 뚝딱 열쇠만들고 그냥 문 열고 탈출하였음...,9
334,2020.06.08 10:31,,8
335,2020.06.08 01:29,"그래에봤던탈옥영화중실화라는사실에놀라움과,현재흑인인종차별이뜨거운이시점에서,보면더좋은영화자유와평등을갈망하는소재를,감옥이라는억압받는곳에빗대어아주훌륭하게표현한영화이다,배우들에호흡이거칠어지고조용함에따라심장박동수가달라진다.촤고! ",10
336,2020.06.08 01:09,긴장 쫄깃쫄깃했어요~,10
337,2020.06.08 01:09,긴장감 공포영화수준뒷골땡겨요,8
338,2020.06.08 00:22,반전도없이 나무판대기가 이리 짜릿할줄이야....ㅋㅋㅋ,8
339,2020.06.07 23:39,소중한 자유와 평등을 위해 목숨도 바칠 준비가 된 영웅 이야기,7
340,2020.06.07 22:51,보는데 완전쫄림 ㅠㅠ진짜 존잼이에요,10
341,2020.06.07 20:36,처음부터 끝까지 긴장감 지림...요즘 시국에 인종차별 소재도 적절하고무엇보다 실화라는 걸 영화 시작하고 처음 알았음.연기 쩔어서 몰입 잘 되고 연출도 좋아서 탈옥 준비과정을 지루하지 않게 잘 표현함.오랜만에 극장 가서 재밌게 보고 온 듯 ,8
342,2020.06.07 16:51,킬링타임으로는 아주 좋네여,10
343,2020.06.07 15:39,아니...열쇠말고.. 그냥 지팡이나 만들어서 다 죽이지... 아브라카타브라..,10
344,2020.06.07 15:18,알고보니 열쇠가 주인공이었다!,10
345,2020.06.07 14:59,,8
346,2020.06.07 13:53,기대 없이 봤는데 보자마자 아 내 인생 영화구나 싶었음. 평점도 처음 남기는데 정말 재밌으니까 남기는 거예요. 한번씩 보는 것도 나쁘지 않을 것 같아요. 짜릿한 영화입니다,10
347,2020.06.07 12:32,엄청나게 거창하진 않지만 엄청난 영화.,8
348,2020.06.07 10:58,인권운동으로 12년을 받은 사람이 나와서 책을 썼는데 인권이 아닌 탈옥에 관한 책을 썼다는 개감동. 영화도 이 책을 원작으로 충실히 원박을 반영했다는 개감동. 탈옥자 감독 모두 존경한다~~~~,10
349,2020.06.07 04:39,심장 완전 쫄깃해요ㅠㅠ 추천영화에요ㅠㅠ 다시 몇십번 더 볼 것 같아요!-! 다니엘 래드클리프 사랑합니다??((물론 다른 배우님들도 ㅎㅎ)),10
350,2020.06.07 02:20,긴장감은 엄청난데 나한텐 막 엄청 재밌다는 아니였음 약간 지루한 면도 있었고,7
351,2020.06.07 01:07,초중반에 좀 지루했지만 후반부엔 몰입도 좋았어요~ 실화라는게 그저 놀라울 따름이에요!,6
352,2020.06.07 00:20," 아 올해 본 영화중에  최고라고 말할만큼긴장감 몰입도  연기  모두 좋았어요실화라니 더욱 뜻 깊고  신념과 가치  의지  ,타이밍 등등그리고 저런것들을 느끼고 실행하는 사람이란 존재가 무엇인지  많은걸 생각하고느끼게 해주는 영화였네요  영화 자체의 재미보단배우들의 섬세한연기와  의미 그리고 실화라는것에중점을 두면 더 크게 다가오는 영화입니다.포터가 멋지게 성장했네요 뿌듯 ",9
353,2020.06.07 00:13,영화 보는 내내 같이 긴장하고 조마조마 했던 영화.. 해리포터 이미지를 떠올리지 않게 만든 다니엘 레드클리프의 연기도 매우 좋았다.,10
354,2020.06.06 23:28,엄청 재미있지는 않는데 그래도 나름 쫄깃한 맛도 있고 재미있게 봤습니다.,7
355,2020.06.06 23:25,,10
356,2020.06.06 22:17,"다니엘 레드클리프=해리포터라는 형식을 완전 깨버린 영화.. 1시간반 내내 심장 쫄깃했음,,",10
357,2020.06.06 20:13,실화기반이기때문에 극적인 반전같은건 없었지만 이런 위인에 대해 알게되었다는 사실에 만족,10
358,2020.06.06 16:14,"긴장감이 이영화 처음부터 끝까지 지속되는게 일단 보는맛이 있고 스토리,연출 완벽하고 해리포터가 주인공이라는거 ... 그리고 실화라는점까지 완벽한 10점입니다",10
359,2020.06.06 16:05,무난하다...,7
360,2020.06.06 12:47,엄청재미있지도 재미없지도 않게 그냥 볼만함,8
361,2020.06.06 11:28,,10
362,2020.06.06 02:37,재미는 있었는데 실화를 재구성해서 만든 이야기라는 문장이 엔딩크레딧이 아닌 오프닝에 나와서 살짝 김이 샜음. 긴장되는 장면이 나와도 잘 풀리겠지~ 으레 해피엔딩이겠거니 하게 되는 단점이 있었음,6
363,2020.06.06 01:33,예고편을 보고가서 다알아서 재미없게봄예고나 영화소개 프로그램 보신분은 비추안보신분은 추천함,6
364,2020.06.06 00:14,꾀 재미있다 언더워터 입장 제한되어서이거 보게 되었는데 꾀 괜찮았음,7
365,2020.06.05 23:53,뻔하지만 괜히 가슴 졸이고 보게되는.자꾸 사람 많은데서 작당모의하는데 쁘락치 있을까바 괜히 보는 나만 개빡치는건 덤.,8
366,2020.06.05 20:44,익스팩토 팩트로눰~~,10
367,2020.06.05 20:08,열쇠공이야기,6
368,2020.06.05 19:45,역시 대체로 탈옥물이 몰입도가 최고다 공포는 이제 넘 식상하고 크게 안 좋아해서.. 정말 간만에 탈옥 명작물 나왓네ㅎㅎ,8
369,2020.06.05 13:25,탈옥이라는 소재 자체를 좋아하는지라 꽤 흥미진진하게 봤다.개인적으로 죽기전에 쇼생크 탈출을 능가하는 탈옥 영화가 나옴 좋겠네~,8
370,2020.06.05 09:26,교훈: 목공을 배우자.,7
371,2020.06.05 01:37,몰입도 최고 자동으로 입틀막 하고 보게되는 영화,10
372,2020.06.04 23:25,,7
373,2020.06.04 23:20,Escape from pretoria,8
374,2020.06.04 22:40,긴장감이 넘치고 흥미로움. 다만 액션신 하나 없는게 아쉽다.,8
375,2020.06.04 03:14,새벽에 침대에서 일어나서봄공항장애 내가 오는줄,8
376,2020.06.04 03:02,요즘 이슈인 인종차별 문제가 옛날이나 지금이나 달라진게 없어 씁쓸하다 영화는 긴장감있고 시간가는줄 모르고봄 다니엘 연기에 빠져든다,8
